#,Development Name,Address,Total Affordable Units,,Latitude,Longitude
105,Rosemary Family,60 E ROSEMARY ST,182,,37.36042988,-121.907338
106,San Jose Apartments,1500 Cunningham Avenue,0,,,
107,San Jose Gardens,4668 Albany Drive,0,,,
108,Santa Familia,4984 Severance Drive,79,,,
109,St. Claire Apartments,311 S.First Street,7,,,
110,Stonegate,4401 Renaissance Drive,118,,37.4123599,-121.9604159
111,Summer Breeze,200 Lewis Road,159,,37.292531,-121.844953
112,Sunset Square,2080 Alum Rock Avenue,94,,37.3562608,-121.8474527
113,Taylor Oaks Apartments,2726-2738 Kollmar,58,,,
114,Terramina Square,410 North White Road,156,,37.37691,-121.8365639
115,The Cypress I,65 Rio Robles East,35,,,
116,The Cypress II,75 Rio Robles East,37,,,
117,The Grove,510 Branham Lane,40,,,
118,The Laurels,185 Estancia Drive,80,,,
119,The Met North,2122 Monterey Road,70,,,
120,The Met South,2128 Monterey Road,30,,,
121,The Oaks,39 Rio Robles East,20,,,
122,The Oaks II,25 Rio Robles East,20,,,
123,The Pines,70 Descanso Drive,35,,,
124,The Pines,70 Descanso Drive,37,,,
125,The Redwoods,150 Alicante Drive,66,,,
126,The Sycamores,3500 Palmilla Drive,67,,,
127,Tierra Encantada,1918 Alum Rock Avenue,92,,37.3543502,-121.8509608
128,Town Park Towers,60 North 3rd Street,216,,37.33810112,-121.8890301
129,Trestles Apartments,1566 Scott St.,70,,,
130,Troy Apartments,714 S ALMADEN AVE,29,,,
131,Turnleaf,3201 Loma Verde Drive,152,,37.29889369,-121.9523394
132,Valley Palms Apartments,2245 Lanai Ave.,142,,37.3224767,-121.8327585
133,Verandas,1868 North Capitol Avenue,92,,37.402981,-121.8802111
134,Villa Monterey,2898 Villa Monterey,119,,37.295632,-121.843568
135,Villa Savannah,4501 Renaissance Drive,138,,37.4118289,-121.9593637
136,Villa Solera,1385 Lucretia Avenue,100,,37.26203425,-121.8534962
137,Villa Torino,29 West Julian Street,85,,,
138,Villa Torre I,955 S 6th St,102,,37.32431848,-121.8746572
139,Villa Torre II,955 S 6th St,87,,,
140,Vintage Tower,235 East Santa Clara St,59,,,
141,Vio,5700 Village Oaks Drive,47,,,
142,Vivente II,5347 Dent Avenue,29,,,
143,Waterford Place,1700 N 1st Street,36,,,
144,Willow Creek,925 Willowleaf Dr,42,,,
145,Willow Lake,1331 Lakeshore Circle,12,,,
146,Willow Pointe,1010 S. 3rd Street,36,,,
147,Willows Apartments,886 Paula Street,46,,,
148,YWCA Third Street,375 South 3rd Street,62,,,
,,,10902,,,
